date,gbp_rate
2023-03-02,5.5457
2023-03-03,5.5602
2023-03-06,5.5594
2023-03-07,5.5441
2023-03-08,5.518
2023-03-09,5.5275
2023-03-10,5.5584
2023-03-13,5.5536
2023-03-14,5.5842
2023-03-15,5.5866
2023-03-16,5.586
2023-03-17,5.6132
2023-03-20,5.618
2023-03-21,5.6037
2023-03-22,5.6092
2023-03-23,5.5631
2023-03-24,5.6013
2023-03-27,5.6264
2023-03-28,5.6203
2023-03-29,5.6287
2023-03-30,5.6239
2023-03-31,5.6256
2023-04-03,5.6215
2023-04-04,5.6525
2023-04-05,5.6149
2023-04-06,5.6452
2023-04-07,5.6272
2023-04-10,5.6212
2023-04-11,5.6213
2023-04-12,5.6089
2023-04-13,5.6115
2023-04-18,5.5946
2023-04-19,5.5984
2023-04-20,5.5898
2023-04-21,5.5836
2023-04-24,5.5661
2023-04-25,5.5777
2023-04-26,5.5814
2023-04-27,5.5775
2023-04-28,5.5968
2023-05-02,5.6069
2023-05-03,5.5868
2023-05-04,5.6074
2023-05-05,5.6318
2023-05-08,5.6425
2023-05-09,5.6548
2023-05-10,5.67
2023-05-11,5.6771
2023-05-12,5.6616
2023-05-15,5.6728
2023-05-16,5.6889
2023-05-17,5.6971
2023-05-18,5.7169
2023-05-19,5.7298
2023-05-22,5.7251
2023-05-23,5.7089
2023-05-24,5.7062
2023-05-25,5.7177
2023-05-26,5.7071
2023-05-29,5.711
2023-05-30,5.748
2023-05-31,5.7565
2023-06-02,5.779
2023-06-06,5.7558
2023-06-07,5.7669
2023-06-08,5.7545
2023-06-09,5.7745
2023-06-12,5.7893
2023-06-13,5.7692
2023-06-14,5.7998
2023-06-15,5.7887
2023-06-16,5.7952
2023-06-19,5.8208
2023-06-20,5.8024
2023-06-21,5.7773
2023-06-22,5.7683
2023-06-23,5.8027
2023-06-26,5.7899
2023-06-27,5.7686
2023-06-28,5.7514
2023-06-29,5.7505
2023-06-30,5.7822
2023-07-03,5.7652
2023-07-04,5.7676
2023-07-05,5.7731
2023-07-06,5.7998
2023-07-07,5.8033
2023-07-10,5.7847
2023-07-11,5.8079
2023-07-12,5.8039
2023-07-13,5.7828
2023-07-14,5.7714
2023-07-17,5.7529
2023-07-18,5.7515
2023-07-19,5.7007
2023-07-20,5.69
2023-07-21,5.7073
2023-07-24,5.6993
2023-07-25,5.715
2023-07-26,5.7436
2023-07-27,5.7405
2023-07-28,5.7612
2023-07-31,5.7479
2023-08-01,5.7674
2023-08-02,5.7431
2023-08-03,5.7235
2023-08-04,5.7502
2023-08-07,5.7386
2023-08-08,5.7454
2023-08-09,5.7391
2023-08-10,5.7241
2023-08-11,5.7157
2023-08-14,5.7301
2023-08-16,5.763
2023-08-17,5.772
2023-08-18,5.7854
2023-08-21,5.7732
2023-08-22,5.7875
2023-08-23,5.7777
2023-08-24,5.7633
2023-08-25,5.7595
2023-08-28,5.7446
2023-08-29,5.7647
2023-08-30,5.7453
2023-08-31,5.7643
2023-09-01,5.7777
2023-09-04,5.7847
2023-09-05,5.78
2023-09-06,5.8043
2023-09-07,5.7789
2023-09-08,5.7906
2023-09-11,5.7987
2023-09-12,5.7799
2023-09-13,5.7737
2023-09-14,5.7768
2023-09-15,5.7941
2023-09-18,5.7709
2023-09-19,5.7569
2023-09-20,5.7516
2023-09-21,5.7329
2023-09-22,5.7134
2023-09-25,5.7103
2023-09-26,5.7148
2023-09-27,5.7209
2023-09-28,5.7597
2023-09-29,5.7433
2023-10-02,5.7415
2023-10-03,5.7323
2023-10-04,5.75
2023-10-05,5.7344
2023-10-06,5.739
2023-10-09,5.7469
2023-10-10,5.7459
2023-10-11,5.7481
2023-10-12,5.7479
2023-10-13,5.7473
2023-10-16,5.7268
2023-10-17,5.7263
2023-10-18,5.7353
2023-10-19,5.7064
2023-10-20,5.6914
2023-10-23,5.7029
2023-10-24,5.7164
2023-10-25,5.6883
2023-10-26,5.692
2023-10-27,5.7085
2023-10-30,5.6915
2023-10-31,5.6781
2023-11-01,5.7168
2023-11-02,5.6978
2023-11-03,5.7072
2023-11-06,5.7391
2023-11-07,5.7207
2023-11-08,5.707
2023-11-09,5.7092
2023-11-10,5.6833
2023-11-13,5.6924
2023-11-14,5.6996
2023-11-15,5.7046
2023-11-16,5.6837
2023-11-17,5.6865
2023-11-20,5.6749
2023-11-21,5.6963
2023-11-22,5.7108
2023-11-23,5.7135
2023-11-24,5.7252
2023-11-27,5.725
2023-11-28,5.7376
2023-11-29,5.7463
2023-12-04,5.7886
2023-12-05,5.7927
2023-12-06,5.8001
2023-12-07,5.8029
2023-12-08,5.7949
2023-12-11,5.7989
2023-12-12,5.7879
2023-12-13,5.7757
2023-12-14,5.7697
2023-12-15,5.797
2023-12-18,5.7635
2023-12-19,5.7728
2023-12-20,5.7419
2023-12-21,5.7318
2023-12-22,5.7365
2023-12-27,5.7218
2023-12-28,5.7227
2023-12-29,5.7225
2024-01-03,5.7426
2024-01-04,5.7685
2024-01-05,5.7711
2024-01-08,5.7747
2024-01-09,5.7852
2024-01-10,5.7778
2024-01-11,5.778
2024-01-12,5.7867
2024-01-15,5.7859
2024-01-16,5.7747
2024-01-17,5.8027
2024-01-18,5.7961
2024-01-19,5.7989
2024-01-22,5.8079
2024-01-23,5.82
2024-01-25,5.8181
2024-01-26,5.8322
2024-01-29,5.8422
2024-01-30,5.8226
2024-01-31,5.8235
2024-02-01,5.8224
2024-02-02,5.8308
2024-02-05,5.827
2024-02-06,5.8148
2024-02-07,5.8377
2024-02-08,5.8296
2024-02-09,5.8258
2024-02-12,5.8262
2024-02-13,5.8501
2024-02-14,5.8328
2024-02-15,5.82
2024-02-16,5.8173
2024-02-19,5.8269
2024-02-20,5.8086
2024-02-21,5.8143
2024-02-22,5.8121
2024-02-23,5.8238
2024-02-26,5.8128
2024-02-27,5.8072
2024-02-28,5.8118
2024-02-29,5.8022
2024-03-01,5.8083
2024-03-04,5.8041
2024-03-05,5.813
2024-03-06,5.8146
2024-03-07,5.8198
2024-03-08,5.8319
2024-03-11,5.832
2024-03-12,5.8129
2024-03-13,5.8116
2024-03-14,5.8218
2024-03-15,5.8212
2024-03-18,5.8088
2024-03-19,5.8166
2024-03-20,5.8266
2024-03-21,5.8165
2024-03-22,5.7849
2024-03-25,5.8002
2024-03-26,5.7966
2024-03-27,5.7967
2024-03-28,5.8167
2024-03-29,5.8126
2024-04-01,5.8152
2024-04-02,5.8148
2024-04-03,5.8041
2024-04-04,5.7955
2024-04-05,5.7907
2024-04-08,5.7923
2024-04-09,5.7986
2024-04-10,5.8075
2024-04-11,5.8071
2024-04-12,5.8281
2024-04-15,5.8274
2024-04-16,5.8284
2024-04-17,5.8294
2024-04-18,5.8158
2024-04-19,5.8125
2024-04-22,5.7677
2024-04-23,5.7698
2024-04-24,5.7878
2024-04-25,5.8067
2024-04-26,5.8018
2024-04-29,5.82
2024-04-30,5.8194
2024-05-02,5.818
2024-05-07,5.7992
2024-05-08,5.7804
2024-05-09,5.7883
2024-05-10,5.7832
2024-05-13,5.7819
2024-05-14,5.7827
2024-05-15,5.8018
2024-05-16,5.7994
2024-05-17,5.8059
2024-05-20,5.8147
2024-05-21,5.8203
2024-05-22,5.8379
2024-05-23,5.8369
2024-05-24,5.8371
2024-05-27,5.8429
2024-05-28,5.844
2024-05-29,5.8519
2024-05-30,5.8507
2024-05-31,5.8378
2024-06-03,5.8343
2024-06-04,5.8405
2024-06-05,5.8456
2024-06-06,5.8466
2024-06-07,5.8452
2024-06-10,5.8813
2024-06-11,5.8931
2024-06-12,5.9031
2024-06-13,5.8891
2024-06-14,5.9174
2024-06-17,5.8855
2024-06-18,5.8856
2024-06-19,5.901
2024-06-20,5.8945
2024-06-21,5.8883
2024-06-25,5.8873
2024-06-26,5.9003
2024-06-27,5.882
2024-06-28,5.88
2024-07-01,5.8622
2024-07-02,5.8694
2024-07-03,5.8751
2024-07-04,5.877
2024-07-05,5.8771
2024-07-08,5.8857
2024-07-09,5.8865
2024-07-10,5.8887
2024-07-11,5.9053
2024-07-12,5.9158
2024-07-15,5.9149
2024-07-16,5.9096
2024-07-17,5.9215
2024-07-18,5.9059
2024-07-19,5.897
2024-07-22,5.9007
2024-07-23,5.9082
2024-07-24,5.9171
2024-07-25,5.9
2024-07-26,5.8914
2024-07-29,5.8851
2024-07-30,5.9065
2024-07-31,5.8972
2024-08-01,5.8891
2024-08-02,5.8578
2024-08-05,5.7962
2024-08-06,5.7941
2024-08-07,5.7958
2024-08-08,5.7704
2024-08-09,5.8158
2024-08-12,5.8106
2024-08-13,5.8309
2024-08-14,5.7993
2024-08-16,5.8414
2024-08-19,5.8457
2024-08-20,5.8431
2024-08-21,5.8312
2024-08-22,5.8613
2024-08-23,5.8753
2024-08-26,5.873
2024-08-27,5.8967
2024-08-28,5.9072
2024-08-29,5.9207
2024-08-30,5.9203
2024-09-02,5.9032
2024-09-03,5.9089
2024-09-04,5.9029
2024-09-05,5.8959
2024-09-06,5.8944
2024-09-09,5.8889
2024-09-10,5.9016
2024-09-11,5.8944
2024-09-12,5.894
2024-09-13,5.8899
2024-09-16,5.899
2024-09-17,5.9047
2024-09-18,5.9056
2024-09-19,5.911
2024-09-20,5.9252
2024-09-23,5.9502
2024-09-24,5.9772
2024-09-25,5.9519
2024-09-26,5.9642
2024-09-27,5.9711
2024-09-30,5.9563
2024-10-01,5.9766
2024-10-02,5.9751
2024-10-03,5.9133
2024-10-04,5.9447
2024-10-07,5.9374
2024-10-08,5.9304
2024-10-09,5.9394
2024-10-10,5.9517
2024-10-11,5.9437
2024-10-14,5.9421
2024-10-15,5.9644
2024-10-16,5.9452
2024-10-17,5.9484
2024-10-18,5.9815
2024-10-21,5.9672
